iter	Passed	Remaining
676	1361	649
677	1363	647
678	1364	645
679	1365	642
680	1367	640
681	1368	638
682	1370	636
683	1373	634
684	1376	632
685	1377	630
686	1378	628
687	1380	625
688	1381	623
689	1382	621
690	1383	618
691	1385	616
692	1386	614
693	1387	611
694	1389	609
695	1391	607
696	1395	606
697	1396	604
698	1397	601
699	1399	599
700	1400	597
701	1401	595
702	1403	592
703	1404	590
704	1405	588
705	1406	585
706	1408	583
707	1409	581
708	1411	579
709	1415	578
710	1416	575
711	1418	573
712	1419	571
713	1420	569
714	1422	566
715	1423	564
716	1424	562
717	1426	560
718	1427	557
719	1430	556
720	1432	554
721	1433	552
722	1435	549
723	1436	547
724	1438	545
725	1439	543
726	1440	540
727	1441	538
728	1443	536
729	1444	534
730	1446	532
731	1448	530
732	1450	528
733	1451	526
734	1452	523
735	1454	521
736	1456	519
737	1457	517
738	1459	515
739	1460	513
740	1462	511
741	1465	509
742	1467	507
743	1468	505
744	1470	503
745	1471	501
746	1473	498
747	1474	496
748	1475	494
749	1477	492
750	1478	490
751	1480	488
752	1482	486
753	1485	484
754	1486	482
755	1487	480
756	1489	478
757	1490	475
758	1491	473
759	1493	471
760	1494	469
761	1496	467
762	1498	465
763	1500	463
764	1503	461
765	1504	459
766	1506	457
767	1507	455
768	1508	453
769	1510	451
770	1511	449
771	1512	446
772	1514	444
773	1515	442
774	1517	440
775	1520	438
776	1522	436
777	1524	434
778	1525	432
779	1526	430
780	1527	428
781	1529	426
782	1530	424
783	1531	422
784	1533	419
785	1534	417
786	1536	415
787	1538	414
788	1542	412
789	1543	410
790	1545	408
791	1546	406
792	1547	404
793	1549	401
794	1550	399
795	1551	397
796	1552	395
797	1554	393
798	1556	391
799	1558	389
800	1560	387
801	1562	385
802	1563	383
803	1565	381
804	1566	379
805	1568	377
806	1569	375
807	1570	373
808	1572	371
809	1574	369
810	1576	367
811	1579	365
812	1580	363
813	1582	361
814	1583	359
815	1584	357
816	1585	355
817	1586	353
818	1587	350
819	1590	349
820	1591	346
821	1593	344
822	1595	343
823	1598	341
824	1599	339
825	1600	337
826	1602	335
827	1603	333
828	1604	331
829	1606	328
830	1607	326
831	1608	324
832	1610	322
833	1613	321
834	1614	319
835	1616	317
836	1618	315
837	1620	313
838	1621	311
839	1622	309
840	1624	307
841	1625	305
842	1626	302
843	1628	300
844	1629	298
845	1631	296
846	1633	295
847	1636	293
848	1637	291
849	1639	289
850	1640	287
851	1641	285
852	1643	283
853	1644	281
854	1645	279
855	1646	277
856	1648	275
857	1649	272
858	1652	271
859	1654	269
860	1656	267
861	1657	265
862	1658	263
863	1660	261
864	1661	259
865	1662	257
866	1663	255
867	1665	253
868	1666	251
869	1668	249
870	1670	247
871	1674	245
872	1675	243
873	1676	241
874	1677	239
875	1679	237
876	1680	235
877	1682	233
878	1683	231
879	1684	229
880	1685	227
881	1687	225
882	1690	223
883	1693	222
884	1694	220
885	1695	218
886	1697	216
887	1698	214
888	1699	212
889	1701	210
890	1702	208
891	1703	206
892	1705	204
893	1707	202
894	1708	200
895	1712	198
896	1713	196
897	1715	194
898	1716	192
899	1717	190
900	1718	188
901	1720	186
902	1721	184
903	1722	182
904	1723	180
905	1725	179
906	1727	177
907	1729	175
908	1731	173
909	1732	171
910	1734	169
911	1735	167
912	1736	165
913	1737	163
914	1739	161
915	1740	159
916	1742	157
917	1743	155
918	1746	153
919	1748	152
920	1749	150
921	1750	148
922	1752	146
923	1753	144
924	1754	142
925	1755	140
926	1757	138
927	1758	136
928	1760	134
929	1762	132
930	1763	130
931	1766	128
932	1767	126
933	1770	125
934	1771	123
935	1772	121
936	1773	119
937	1775	117
938	1777	115
939	1779	113
940	1781	111
941	1782	109
942	1784	107
943	1785	105
944	1787	104
945	1788	102
946	1789	100
947	1791	98
948	1792	96
949	1795	94
950	1797	92
951	1799	90
952	1801	88
953	1802	86
954	1803	85
955	1805	83
956	1806	81
957	1807	79
958	1809	77
959	1810	75
960	1812	73
961	1814	71
962	1817	69
963	1818	67
964	1820	66
